Elegy	War, Inc.
Broken Trail	Public Enemies
Johnson Family Vacation	Welcome Home, Roscoe Jenkins
Big Heart City	L!fe Happens
National Treasure: Book of Secrets	Phil Spector
Outlaw Country: Live from Austin TX	Shoedog
Kung Fu Panda 2	The Toe Tactic
Have Tig at Your Party	Youth in Revolt
Jesse Stone: Thin Ice	Premium
Rogue River	Theatre of the Devil
Shark Tale	Stone
Dante's Inferno Documented	Sister's Keeper
The Da Vinci Code	The Little Traitor
Stripper Academy	The Ghost of Goodnight Lane
The Family Stone	The Notebook
The Gatekeeper	The Internship
Blank City	Who's the Top?
House	The Devil's Rejects
Chain Letter	Tall Justice
Best of Chris Isaak	Sky Captain and the World of Tomorrow
Marilyn Hotchkiss' Ballroom Dancing and Charm School	What Love Is
3: The Dale Earnhardt Story	Thank You for Smoking
Hired Gun	Now Here
Grindhouse	Ranchero
Happy Endings	Lovelace
The Accidental Husband	Where the Truth Lies
The Penguins of Madagascar: Operation - DVD Premiere	The Powerpuff Girls Rule!!!
Christa McAuliffe: Reach for the Stars	Middle of Nowhere
Confessions of a Shopaholic	Marilyn Hotchkiss' Ballroom Dancing and Charm School
Magic Mike	The Eagle
Child of God	Howl
Evil Bong	Night of the Living Dead: Origins 3D
Drillbit Taylor	Nebraska
The Butcher	The Ultimate Enemy
Checking Out	The Absence of Light
Andre the Butcher	Big Money Rustlas
Couples Retreat	The Romantics
Drunk History: Douglass &amp; Lincoln	Good Cop, Baby Cop
The Devil's Dozen	Zolar: The Extreme Sports Movie
Broken	Cake
The Last Sentinel	The Oh in Ohio
Man of the Year	Stand Up Guys
Seeking Justice	Stolen
Night of the Templar	Starz Inside: Unforgettably Evil
A Child's Garden of Poetry	Children of Men
Finishing the Game	His Highness Hollywood
A Little Trip to Heaven	Freelancers
A Perfect Ending	Sweet Land
Little Red Devil	One in the Gun
Eagle Eye	Riddle
Godsend	Machete
The Plague	The Story of Bonnie and Clyde
Never Die Alone	Street Kings: Motor City
Pulse	Safety Not Guaranteed
Poolboy: Drowning Out the Fury	Zack and Miri Make a Porno
Kit Kittredge: An American Girl	The Company You Keep
Africa Unite	Be Kind Rewind
He Say, She Say, But What Does God Say?	Rim Shop
2B	Seven Psychopaths
New In Town	Stay Cool
DC Showcase: Green Arrow	The Curse of King Tut's Tomb
Lovelace	Taco Shop
Dinotopia: Quest for the Ruby Sunstone	Legend of a Rabbit
Bernard and Doris	The Lovely Bones
Management	The Messenger
Future Weather	Unspoken
Pride	Prisoners
A Good Day to Die Hard	The Black Mamba
Hugo	Let Me In
Kill the Irishman	Numb
Blood Out	Planes
The Messengers	The Yellow Handkerchief
Showdown at Area 51	Unraveled
Cat Tale	Re-Animated
Family Guy Presents: Stewie Griffin: The Untold Story	Made for Each Other
Hell &amp; Back	Reno 911!: Miami
Kings of the Evening	The Gift Horse
RED	Sin City
Penguins of Madagascar: Happy King Julien Day!	Tom and Jerry Blast Off to Mars
The Mortal Instruments: City of Bones	Touching Evil
See Girl Run	The Great Buck Howard
RED	Thick as Thieves
A Single Shot	G-Force
10 Years	Side Effects
Brawler	The Last Song
Cellular	The A-Team
Fast Food Nation	Kris Kristofferson: Breakthrough
Charlie Valentine	Dirty
Management	Wake Up, Ron Burgundy: The Lost Movie
Hubert Selby Jr: It'll Be Better Tomorrow	Iron Man
According to Greta	Hit Somebody
Karl Rove, I Love You	The Departed
Eyes Front	House
The Land Before Time XI: Invasion of the Tinysauruses	The Land Before Time XII: The Great Day of the Flyers
2012	Lucky Them
Mind's Eye	Silent Night
Arthur 3: The War of the Two Worlds	Turbo
Cars	The Wendell Baker Story
Into the Blue 2: The Reef	Screw Cupid
Bone Dry	Raven
Buy It Now	Fresh Cut Grass
New York, I Love You	Wedding Crashers
Funky Monkey	Monsters vs. Aliens
Joe Louis: America's Hero Betrayed	Mental
Bee Movie	Get Smart
Charlie Wilson's War	The Babysitters
Richard III	Strike One
Pistol Whipped	The Garden
Ball Don't Lie	Black Irish
Cunning Little Vixen	The Tale of Despereaux
Camjackers	In Time
American Virgin	Noah's Ark: The New Beginning
Mad Money	The Dilemma
Show Stoppers	The Gospel
Hack!	Lone
Joey Stefano	Mojave Phone Booth
Charlie Wilson's War	Michael Clayton
The Lazarus Papers	Through the Valley
Blood Done Sign My Name	Pray
Lake Effects	Treasure Buddies
Paul	The Three Stooges
Bee Movie	The Iceman
Robot and Frank	The War Prayer
Get Smart	Tenure
Arthur	State of Play
513	Outrage: Born in Terror
Free Samples	The Social Network
Idea in America	The Terminal
Hustle &amp; Flow	Lackawanna Blues
Tarantula	The Man from Earth
Felony	Michael Clayton
Part Two: The Warm Mission	The Witches of Oz
End Game	Unraveled
Miss Pettigrew Lives for a Day	Salvation Boulevard
Lilo &amp; Stitch 2: Stitch Has a Glitch	War of the Worlds
Big Breaks	For Your Consideration
Georgia O'Keeffe	The Magic 7
Cinderella Man	Les Mis?rables
2001 Maniacs: Beverly Hellbillys	Who's Your Daddy?
The Alibi	The Box
Blue Jasmine	The Other Guys
Almost Christmas	Reno 911!: Miami
Repo	The Last Godfather
Django Unchained	Mother and Child
Piranha 3D	The Goods: Live Hard, Sell Hard.
Any Day Now	Wasted
Death of a Dynasty	Decoding Annie Parker
Chillerama	Necessary Evil
Bewitched	Semi-Pro
Battle in Seattle	Snowmen
Bobby	Hollow Man 2
Crossing Over	Yellow
Adrift in Manhattan	Shoedog
7-10 Split	Rampage: The Hillside Strangler Murders
The Good Shepherd	The Zero Theorem
The Brazen Bull	Tooth and Nail
Flags of Our Fathers	Say Uncle
Relative Strangers	Wild Hogs
Management	Pineapple Express
Little Miss Sunshine	Looper
Middle of Nowhere	The Lovely Bones
House of the Rising Sun	Modus Operandi
Season of the Witch	The Frozen Ground
The Gospel	The Human Contract
G-Force	Zach Galifianakis Live at the Purple Onion
Coffee Date	Dear Lemon Lima
Chicken Little	The Speed of Thought
The Company You Keep	Treasure Buddies
Bomb	From Other Worlds
Blade: Trinity	John Ford Goes to War
Hamlet 2	The Ex
Boondock Saints II: All Saints Day	KAW
Hollywood Dreams	The Expendables
Chillerama	Stealing Las Vegas
Elizabethtown	The Last of Robin Hood
For Love of Liberty: The Story of America's Black Patriots	The Magic of Belle Isle
Company of Heroes	She's the Man
Love &amp; Other Drugs	The Amateurs
No Witness	Parental Guidance
Ambition	Machete Kills
Like Crazy	The Trouble with Bliss
Lottery Ticket	Meet Monica Velour
Leatherheads	Unthinkable
August Rush	Shrink
Frog-g-g!	The Black Belle
Conviction	This is a Story About Ted and Alice
The A-Team	The Chronicles of Narnia: The Voyage of the Dawn Treader
Click	Kill the Irishman
Battle for Terra	The Perfect Score
Brothers in Arms	Treasure Raiders
A New Wave	Anything's Possible
An Invisible Sign	The Vicious Kind
Phoebe in Wonderland	The Flying House
The Dilemma	The Perfect Holiday
9	Man in the Chair
127 Hours	Spider-Man 2
Final Move	Lies &amp; Illusions
Kinsey	Purple Heart
Big Money Rustlas	Under the Gaydar
The Break-Up	Waiting...
Miracle	The Flying House
A Prairie Home Companion	Harvard Beats Yale 29-29
Here Comes Peter Cottontail: The Movie	Santa Buddies
Gospel Hill	Last Holiday
Hoodwinked!	Transformers: Revenge of the Fallen
Chasing Ghosts	Scary Movie 4
Waiting...	Walk Hard: The Dewey Cox Story
Snow Buddies	The Five-Year Engagement
Street Kings	The Expendables 2
Getaway	The Five People You Meet in Heaven
Feast of Love	Soccer Mom
A Child's Garden of Poetry	The A-Team
Penguins of Madagascar: I Was a Penguin Zombie	The Batman vs. Dracula
Lonesome Jim	Ponies
Hounddog	Man on Fire
The Vicious Kind	The Way of War
Argo	Raising Flagg
Adult World	Shanghai
Carjacked	Grown Ups
Howl	Sal
Mean Girls	Sherlock Holmes
Delta Farce	Predators
Hatchet II	Nite Tales: The Movie
Jesse Stone: Stone Cold	The Covenant
Price Check	Sunny Side Up
The Family Stone	Undertow
The Windmill Movie	Vamps
Undertow	Zodiac
Six Days in Paradise	The Ultimate Enemy
Red Eye	The Family Stone
Cop Out	Superhero Movie
Sin City	The Life Coach
Real Steel	Touching Evil
Iron Man 2	The Island
Dear Lemon Lima	Magic
Riddle	The Ugly Life of a Beautiful Girl
10.5: Apocalypse	Max Havoc: Ring of Fire
Gates of Eden	The Hillside Strangler
Funky Monkey	The SpongeBob SquarePants Movie
Step Brothers	The Vicious Kind
Cat Tale	Fight for Your Right Revisited
Michael Clayton	Rocket Science
Anchorman: The Legend of Ron Burgundy	The Break-Up
Batman: Year One	Drive
All Souls Day	The Blue Rose
Dream House	The Haunting in Connecticut
127 Hours	Milk
Stolen	The Paperboy
Buttermilk Sky	Deep Winter
Inland Empire	The Benchwarmers
How I Got Lost	Off the Black
Easy A	Zombex
Freedom for Joe	The Black Waters of Echo's Pond
Bordertown	The Amazing Spider-Man
Brothers Three	Hard Candy
Bolt	Vamps
Lucky Days	Three Days to Vegas
Appaloosa	Scream of the Banshee
Big Miracle	The Family Tree
Man of the House	Street Kings
Camp Lazlo: Where's Lazlo?	Scooby-Doo! Music of the Vampire
Friends with Benefits	Management
Dear Lemon Lima	Material Lies
Not Another Not Another Movie	The Number One Girl
RED	Red Eye
Fanboys	My Sexiest Year
Comedians of Comedy: Live at the Troubadour	Kung Fu Panda
Hole in the Paper Sky	The Illusionist
Grown Ups 2	The Island
Dark Country	Scooby-Doo! Pirates Ahoy!
2001 Maniacs: Beverly Hellbillys	Jewtopia
Oh, What a Lovely Tea Party	Tom Cool
Lady in the Water	Quantum of Solace
Cake	Deconstruction Red
Flight	The Book of Eli
Rumor Has It?	The Switch
Cop Out	Kiss Me Again
Saving Mr. Banks	The Great Buck Howard
Middle of Nowhere	Secrets of the Code
Alex's Halloween	Promtroversy
If Only	The Night of the White Pants
Pistol Whipped	Tarzan II
Bottled Up	Hollywood Dreams
Hit and Run	Roman
Bewitched	Curious George
Are We There Yet	The Son of No One
Hemingway &amp; Gellhorn	Rabbit Hole
Collateral	The Dark Tower
Three Days to Vegas	Welcome to Mooseport
Chick Magnet	Sin City
Spy Kids: All the Time in the World	Valentine's Day
Birds of America	Kill Your Darlings
DOA: Dead or Alive	Light Years Away
Killer Pad	Surf School
How to Lose Your Lover	Scooby-Doo! Legend of the Phantosaur
Elf Sparkle and the Special Red Dress	Norm of the North
Despicable Me	The Hangover: Part II
A Child's Garden of Poetry	Before the Devil Knows You're Dead
Sherlock Holmes: A Game of Shadows	The Avengers
The Heart Is Deceitful Above All Things	The War Prayer
Crossing Over	Dalai Lama Renaissance
Final Sale	Flourish
The Jane Austen Book Club	Towelhead
Mr. &amp; Mrs. Smith	World War Z
Mac &amp; Devin Go to High School	Snoop Dogg: Puff Puff Pass Tour
Croc	Dirty Little Trick
Justin Time	The Grind
Fading Gigolo	Lackawanna Blues
A Mighty Heart	Pretty Bird
Anchorman 2: The Legend Continues	Indiana Jones and the Kingdom of the Crystal Skull
Choose Connor	Dead Man's Burden
Stephanie's Image	True Adolescents
Empire Falls	The Master
Babylon A.D.	Miss Pettigrew Lives for a Day
13	The Harvest
Pirates of Treasure Island	Starkweather
Fired Up!	Zodiac
Bewitched	Rabbit Hole
Disney Princess Enchanted Tales: Follow Your Dreams	Scooby-Doo! The Mystery Begins
Midgets Vs. Mascots	Repo
Pandorum	The Roommate
Lives of the Saints	Morning Glory
Raggedy Anne	The Blue Rose
Homefront	Unraveled
Branded	Tangled
Collateral	FDR: American Badass!
Removal	The Twilight Saga: Breaking Dawn - Part 1
Penance	The Eliminator
Back in the Day	Feel the Noise
Be Here to Love Me	Silver City
August Rush	Devour
Barnyard	Larry the Cable Guy: Health Inspector
Kick-Ass	Let Me In
Barrymore	National Treasure
Shadows in Paradise	The Blue Rose
Closing the Ring	Inside Man
Collateral	Redemption: The Stan Tookie Williams Story
Daybreakers	My Son, My Son, What Have Ye Done?
A Perfect Ending	The Truth
Robots	The Final Cut
A Fork in the Road	Bryan Loves You
Bonneville	Christmas Is Here Again
