Anthony Mackie	Crossover
Patrick Warburton	Underdog
Amy Adams	Underdog
George Clooney	Burn After Reading
John Malkovich	Burn After Reading
Richard Jenkins	Burn After Reading
Brad Pitt	Burn After Reading
J.K. Simmons	Burn After Reading
Dermot Mulroney	Burn After Reading
Don Cheadle	Traitor
Neal McDonough	Traitor
Bruce McGill	Humble Pie
Melissa Leo	Racing Daylight
David Strathairn	Racing Daylight
Giancarlo Esposito	Racing Daylight
Noel Gugliemi	Wannabes
Jeff Chase	Nurses
Danny Trejo	Dark Games
Melissa Leo	Truckstop
Lance Henriksen	Mythic Journeys
Allison Janney	Away We Go
Chris Messina	Away We Go
Melanie Lynskey	Away We Go
Cam Gigandet	Kerosene Cowboys
Clifton Powell	Preacher's Kid
Kristen Stewart	The Runaways
Dakota Fanning	The Runaways
Michael Shannon	The Runaways
Amy Adams	Love &amp; Distrust
Robert Downey Jr.	Love &amp; Distrust
James Franco	Love &amp; Distrust
Richard Riehle	Dinner with Raphael
Seymour Cassel	L!fe Happens
